Reference; Value; Footprint
C101;100u;Elko 11x5mm RM2,5
C102;100n;0805
C103;100n;0805
C104;470u;Elko 20x10mm RM5
C201;100n;0805
C202;100n;0805
C301;100n;0805
C302;100n;0805
C401;100n;0805
C402;100n;0805
C403;15p;0603
C404;15p;0603
C405;100n;0805
C406;100n;0805
D101;D_Schottky;RM10
D102;Green;0805
D401;Yellow;0805
D402;Yellow;0805
D403;Yellow;0805
D404;Yellow;0805
J201;SPDIF_IN;RCA RM2,5
J301;SPDIF_OUT;RCA RM2,5
JP201;RX_Select;1x3 RM2,54
JP301;TX_Select;1x3 RM2,54
JP401;TXSRC;1x3 RM2,54
JP402;MASTER_SLAVE;1x3 RM2,54
JP403;AIFCONF1;1x3 RM2,54
JP404;HWMODE;1x3 RM2,54
JP405;AIFCONF0;1x3 RM2,54
L101;680u;Elko 11x5mm RM2.5
L201;(47u);RM10
L301;(47u);RM10
L401;100u;RM10
P101;STDCONN;2x8 RM2,54
R101;3k3;0805
R102;2k;0805
R103;68;0805
R201;75;0805
R301;110;0805
R302;210;0805
R401;10k;0805
R402;50;0805
R403;100;0805
R404;100;0805
R405;100;0805
R406;100;0805
R407;10k;0805
R408;10k;0805
R409;10k;0805
R410;10k;0805
R411;10k;0805
R412;10k;0805
R413;10k;0805
R414;10k;0805
SW401;RESET;Switch RM5
U101;LM2574;DIP-8
U201;TORX147/PLR135;TOxx147
U301;TOTX147/PLT133;TOxx147
U401;74HC04;SOIC-14 3.9x8.7mm Pitch1.27mm
U402;WM8804;SSOP-20 5.3x7.2mm Pitch0.65mm
Y401;12MHz;HC49 SMD
;;
